"contributor","address","agent","amount","date","committee","ward","lat","lon"
"Bear Saint Properties, Inc.","1025 Thomas Jefferson Street NW","NATIONAL REGISTERED AGENTS INC.",2000,2008-12-12,"Fenty 2010","4","38.90317071","-77.05983468"
"Froggy Bottom Estates","1025 Thomas Jefferson Street NW","NATIONAL REGISTERED AGENTS INC.",2000,2008-12-12,"Fenty 2010","Citywide","38.90317071","-77.05983468"
"Froggy Bottom Estates, LLC","1025 Thomas Jefferson Street NW No. 302","NATIONAL REGISTERED AGENTS INC.",500,2009-07-22,"Re-Elect Tommy Wells","6","38.90317071","-77.05983468"
"Air Dirt LLC.","1025 Thomas Jefferson Street NW No. 302","C T CORPORATION SYSTEM UNK",500,2009-07-22,"Re-Elect Tommy Wells","1","38.90317071","-77.05983468"
"Froggy Bottom Estates, LLC","1025 Thomas Jefferson Street NW No. 302w","NATIONAL REGISTERED AGENTS INC.",500,2011-05-06,"Evans 2012","Citywide","38.90317071","-77.05983468"
"Venv, LLC","1025 Thomas Jefferson Street NW No. 302w","CORPORATION SERVICE COMPANY",500,2011-05-06,"Evans 2012","Citywide","38.90317071","-77.05983468"
"Air Dirt LLC","1025 Thomas Jefferson Street NW No. 302w","C T CORPORATION SYSTEM UNK",500,2011-05-06,"Evans 2012","Citywide","38.90317071","-77.05983468"
"Portfollofirst Parking Solutions","1025 Thomas Jefferson Street NW No. 302w",,500,2011-05-06,"Evans 2012","Citywide","38.90317071","-77.05983468"
"Rodgers Legacy II LLC","1040 Park Ave","BUSINESS FILINGS INCORPORATED",500,2012-02-23,"Re-Elect Yvette Alexander 2012","Citywide","39.2972833106504","-76.6073208536814"
"Rodgers Legacy II LLC","1040 Park Ave","BUSINESS FILINGS INCORPORATED",500,2012-02-23,"Re-Elect Yvette Alexander 2012","Citywide","39.2972833106504","-76.6073208536814"
"A & R Development Corp.","1040 Park Ave No. 300",,1000,2004-04-09,"Brazil 2004 Committee","7","39.2946118694125","-76.6222551932566"
"Irrevocable Trust for William L. Adams","1040 Park Ave No. 300",,1000,2004-04-09,"Brazil 2004 Committee","5","39.2946118694125","-76.6222551932566"
"Kansas Avenue Apartments","1048 29th Street NW No. 201","UNAVAILABLE",300,2004-10-31,"Campaign to Elect Jeff Smith (TERM)","Citywide","38.90381230","-77.05839065"
"Clifton Heights Associates, LLC","1048 29th Street NW No. 201","MICHAEL SUSSMAN",300,2004-10-31,"Campaign to Elect Jeff Smith (TERM)","3","38.90381230","-77.05839065"
"RCL Corporation","1050 Thomas Jefferson Street NW No. 100",,500,2006-05-17,"Bill Rice for Ward 3","5","38.90349373","-77.06040343"
"VENV LLC","1050 Thomas Jefferson Street NW No. 100","CORPORATION SERVICE COMPANY",500,2006-05-17,"Bill Rice for Ward 3","Citywide","38.90349373","-77.06040343"
"Colonial Parking, Inc.","1050 Thomas Jefferson Street NW No. 100","C T CORPORATION SYSTEM UNK",1000,2005-11-22,"Catania 2006","Citywide","38.90349373","-77.06040343"
"Washington Boat Lines, Inc.","1050 Thomas Jefferson Street NW No. 100","NATIONAL REGISTERED AGENTS INC.",1000,2005-11-22,"Catania 2006","Citywide","38.90349373","-77.06040343"
"Colonial Parking, Inc.","1050 Thomas Jefferson Street NW No. 100","C T CORPORATION SYSTEM UNK",1000,2010-01-26,"Catania 2010","6","38.90349373","-77.06040343"
"1112 Nineteenth Street Associates","1050 Thomas Jefferson Street NW No. 100","NATIONAL REGISTERED AGENTS INC.",1000,2010-01-26,"Catania 2010","Citywide","38.90349373","-77.06040343"
"Washington Boat Lines, Inc.","1050 Thomas Jefferson Street NW No. 100","NATIONAL REGISTERED AGENTS INC.",1000,2010-01-26,"Catania 2010","Citywide","38.90349373","-77.06040343"
"VENV LLC","1050 Thomas Jefferson Street NW No. 100","CORPORATION SERVICE COMPANY",1000,2010-01-26,"Catania 2010","Citywide","38.90349373","-77.06040343"
"Forge Company","1050 Thomas Jefferson Street NW No. 100","NATIONAL REGISTERED AGENTS INC.",500,2011-05-26,"Evans 2012","5","38.90349373","-77.06040343"
"Colonial Investments","1050 Thomas Jefferson Street NW No. 100","NATIONAL REGISTERED AGENTS INC.",500,2011-05-26,"Evans 2012","8","38.90349373","-77.06040343"
"Colonial Investments","1050 Thomas Jefferson Street NW No. 100","NATIONAL REGISTERED AGENTS INC.",1500,2010-08-31,"Kwame for Chair","Citywide","38.90349373","-77.06040343"
"1112 Nineteenth Street Associates","1050 Thomas Jefferson Street NW No. 100","NATIONAL REGISTERED AGENTS INC.",1500,2010-09-01,"Kwame for Chair","8","38.90349373","-77.06040343"
"Washington Boat Lines, Inc.","1050 Thomas Jefferson Street NW No. 100","NATIONAL REGISTERED AGENTS INC.",1500,2010-09-01,"Kwame for Chair","4","38.90349373","-77.06040343"
"Colonial Parking, Inc.","1050 Thomas Jefferson Street NW No. 100","C T CORPORATION SYSTEM UNK",1000,2008-06-02,"Patrick Mara for Council","4","38.90349373","-77.06040343"
"Washington Boat Lines, Inc.","1050 Thomas Jefferson Street NW No. 100","NATIONAL REGISTERED AGENTS INC.",1000,2008-06-09,"Patrick Mara for Council","4","38.90349373","-77.06040343"
"1112 Nineteenth Street Associates","1050 Thomas Jefferson Street NW No. 100","NATIONAL REGISTERED AGENTS INC.",1000,2008-06-09,"Patrick Mara for Council","7","38.90349373","-77.06040343"
"Bear Saint Properties Inc.","1050 Thomas Jefferson Street NW No. 100","NATIONAL REGISTERED AGENTS INC.",1000,2011-12-10,"Re-Elect Orange At Large 2012","8","38.90349373","-77.06040343"
"1112 Nineteenth Street Associates","1050 Thomas Jefferson Street NW No. 100","NATIONAL REGISTERED AGENTS INC.",1000,2011-12-10,"Re-Elect Orange At Large 2012","7","38.90349373","-77.06040343"
"Washington Boat Lines, Inc.","1050 Thomas Jefferson Street NW No. 100","NATIONAL REGISTERED AGENTS INC.",500,2009-07-22,"Re-Elect Tommy Wells","Citywide","38.90349373","-77.06040343"
"VENV LLC","1050 Thomas Jefferson Street NW No. 100","CORPORATION SERVICE COMPANY",500,2009-07-22,"Re-Elect Tommy Wells","5","38.90349373","-77.06040343"
"RLC Corp.","1050 Thomas Jefferson Street NW No. 100",,500,2009-07-22,"Re-Elect Tommy Wells","5","38.90349373","-77.06040343"
"Quercus, LLC","10518 Warfield St","CORPORATION SERVICE COMPANY",500,2006-08-15,"Bill Rice for Ward 3","Citywide","39.0292727973985","-77.079877421245"
"Shorb Properties II, LLC","10518 Warfield St",,500,2006-08-15,"Bill Rice for Ward 3","4","39.0292727973985","-77.079877421245"
"Rightsource, LLC","1090 Vermont Avenue NW No. 800","KELVIN  J. ROBINSON",2000,2006-08-09,"Citizens to Elect Linda Cropp Mayor","1","38.903420","-77.03365010"
"KMJ Development, LLC","1090 Vermont Avenue NW No. 800","JEFFREY E. THOMPSON",2000,2006-08-09,"Citizens to Elect Linda Cropp Mayor","Citywide","38.903420","-77.03365010"
"Law Offices of Cadeaux, Taglieri & Notarius","1100 Connecticut Avenue NW No. 800",,1000,2004-10-12,"Committee to Elect Kwame R Brown","1","38.90407269","-77.04063793"
"DC Legal","1100 Connecticut Avenue NW No. 800",,1000,2004-10-12,"Committee to Elect Kwame R Brown","Citywide","38.90407269","-77.04063793"
"DC Legal","1100 Connecticut Avenue NW No. 800",,500,2004-03-08,"Committee to Re-Elect Kevin P. Chavous","Citywide","38.90407269","-77.04063793"
"Law Offices of Cadeaux, Taglieri & Notarius","1100 Connecticut Avenue NW No. 800",,500,2004-03-08,"Committee to Re-Elect Kevin P. Chavous","5","38.90407269","-77.04063793"
"Cadeaux, Taglieri & Notarius, PC","1100 Connecticut Avenue NW No. 800",,500,2011-06-25,"Evans 2012","5","38.90407269","-77.04063793"
"Stein, Mitchell & Muse","1100 Connecticut Avenue NW No. 800",,500,2011-06-25,"Evans 2012","Citywide","38.90407269","-77.04063793"
"DC Legal","1100 Connecticut Avenue NW No. 800",,500,2003-04-22,"Fenty 2004 Re-Election Committee","1","38.90407269","-77.04063793"
"Law Offices of Cadeaux, Taglieri & Notarius","1100 Connecticut Avenue NW No. 800",,500,2003-04-22,"Fenty 2004 Re-Election Committee","Citywide","38.90407269","-77.04063793"
"Law Offices of Cadeaux, Taglieri & Notarius","1100 Connecticut Avenue NW No. 800",,500,2002-04-23,"Re-Elect Jim Graham","4","38.90407269","-77.04063793"
"Law Offices of Cadeaux, Taglieri & Notarius","1100 Connecticut Avenue NW No. 800",,500,2002-04-23,"Re-Elect Jim Graham","3","38.90407269","-77.04063793"
"Doggett Enterprises, Inc.","1100 G Street NW No. 300","C. WANNER DOGGETT",2000,2010-06-10,"Gray for Mayor","1","38.89814096","-77.02729840"
"Cherrie Wanner Doggett Trust","1100 G Street NW No. 300",,2000,2010-06-10,"Gray for Mayor","Citywide","38.89814096","-77.02729840"
"M Street Account","1100 G Street NW No. 300",,2000,2010-06-10,"Gray for Mayor","3","38.89814096","-77.02729840"
"Doggett Enterprises, Inc.","1100 G Street NW No. 300","C. WANNER DOGGETT",500,2011-11-08,"Tom Brown for Ward 7","Citywide","38.89814096","-77.02729840"
"M Street Account","1100 G Street NW No. 300",,500,2011-11-08,"Tom Brown for Ward 7","Citywide","38.89814096","-77.02729840"
"Cherrie Wanner Doggett Trust","1100 G Street NW No. 300",,500,2011-11-08,"Tom Brown for Ward 7","5","38.89814096","-77.02729840"
"Skylands","1100 New Jersey Avenue SE","BRADLEY J. FENNELL",2000,2008-12-08,"Fenty 2010","5","38.87695160","-77.00394218"
"Twin Oaks Apartments","1100 New Jersey Avenue SE","BRADLEY J. FENNELL",2000,2008-12-08,"Fenty 2010","5","38.87695160","-77.00394218"
"Rental Trustee Account","1100 New Jersey Avenue SE No. 1000",,500,2006-09-06,"Bobb for School Board President","4","38.87695160","-77.00394218"
"Jetu, Inc.","1100 New Jersey Avenue SE No. 1000","BRADLEY J FENNELL",500,2006-09-06,"Bobb for School Board President","7","38.87695160","-77.00394218"
"William C. Smith & Co. Inc.","1100 New Jersey Avenue SE No. 1000","INA  IGBOZURUIKE",500,2006-09-06,"Bobb for School Board President","Citywide","38.87695160","-77.00394218"
"Alexander Garden Apartments","1100 New Jersey Avenue SE No. 1000","BRADLEY J. FENNELL",500,2006-09-06,"Bobb for School Board President","Citywide","38.87695160","-77.00394218"
"Skyland Reserve Account","1100 New Jersey Avenue SE No. 1000",,500,2006-09-26,"Bobb for School Board President","Citywide","38.87695160","-77.00394218"
"Duncan Maxwell, Inc.","1100 New Jersey Avenue SE No. 1000",,500,2006-09-26,"Bobb for School Board President","5","38.87695160","-77.00394218"
"Twin Oaks Apartments","1100 New Jersey Avenue SE No. 1000","BRADLEY J. FENNELL",500,2006-09-26,"Bobb for School Board President","Citywide","38.87695160","-77.00394218"
"JT Real Estate Holdings, LLC","1101 15th Street NW","JEFFREY E. THOMPSON",1000,2011-03-10,"Orange At-Large","8","38.90393340","-77.03421526"
"KMJ Development, LLC","1101 15th Street NW","JEFFREY E. THOMPSON",1000,2011-03-10,"Orange At-Large","4","38.90393340","-77.03421526"
"JT Real Estate Holdings, LLC","1101 15th Street NW","JEFFREY E. THOMPSON",500,2010-11-02,"Thomas 2010","7","38.90393340","-77.03421526"
"KMJ Development, LLC","1101 15th Street NW","JEFFREY E. THOMPSON",500,2010-11-05,"Thomas 2010","4","38.90393340","-77.03421526"
"Bright Star Entertainment","1101 15th Street NW No. 400",,2000,2006-03-10,"2006 Orange for Mayor","Citywide","38.90393340","-77.03421526"
"Thompson, Cobb, Bazilio & Associates, PC","1101 15th Street NW No. 400",,2000,2006-03-10,"2006 Orange for Mayor","5","38.90393340","-77.03421526"
"DC Healthcare Systems, Inc.","1101 15th Street NW No. 400","ISAAC GEORGE",500,2008-07-09,"Barry for Ward 8","Citywide","38.90393340","-77.03421526"
"Thompson, Cobb, Bazilio & Associates, PC","1101 15th Street NW No. 400",,500,2008-07-09,"Barry for Ward 8","1","38.90393340","-77.03421526"
"Bright Star Entertainment","1101 15th Street NW No. 400",,500,2006-09-05,"Bobb for School Board President","Citywide","38.90393340","-77.03421526"
"DC Healthcare Systems, Inc.","1101 15th Street NW No. 400","ISAAC GEORGE",500,2006-09-05,"Bobb for School Board President","Citywide","38.90393340","-77.03421526"
"Thompson, Cobb, Bazilio & Associates, PC","1101 15th Street NW No. 400",,500,2006-09-05,"Bobb for School Board President","5","38.90393340","-77.03421526"
"DC Healthcare Systems, Inc.","1101 15th Street NW No. 400","ISAAC GEORGE",1000,2006-03-27,"Catania 2006","Citywide","38.90393340","-77.03421526"
"Thompson, Cobb, Bazilio & Associates, PC","1101 15th Street NW No. 400",,1000,2006-03-27,"Catania 2006","6","38.90393340","-77.03421526"
"Thompson, Cobb, Bazilio & Associates, PC","1101 15th Street NW No. 400",,500,2004-02-20,"Committee to Re-Elect Kevin P. Chavous","4","38.90393340","-77.03421526"
"DC Healthcare Systems, Inc.","1101 15th Street NW No. 400","ISAAC GEORGE",500,2004-02-20,"Committee to Re-Elect Kevin P. Chavous","Citywide","38.90393340","-77.03421526"
"Thompson, Cobb, Bazilio & Associates, PC","1101 15th Street NW No. 400",,500,2007-01-31,"Dr. Victor Vandell for Ward 7","Citywide","38.90393340","-77.03421526"
"DC Healthcare Systems, Inc.","1101 15th Street NW No. 400","ISAAC GEORGE",500,2007-01-31,"Dr. Victor Vandell for Ward 7","Citywide","38.90393340","-77.03421526"
"Thompson, Cobb, Bazilio & Associates, PC","1101 15th Street NW No. 400",,1500,2006-08-10,"Gray for Chair","Citywide","38.90393340","-77.03421526"
"DC Healthcare Systems, Inc.","1101 15th Street NW No. 400","ISAAC GEORGE",1500,2006-08-10,"Gray for Chair","Citywide","38.90393340","-77.03421526"
"DC Healthcare Systems, Inc.","1101 15th Street NW No. 400","ISAAC GEORGE",2000,2010-11-01,"Gray for Mayor","Citywide","38.90393340","-77.03421526"
"Thompson, Cobb, Bazilio & Associates, PC","1101 15th Street NW No. 400",,2000,2010-11-02,"Gray for Mayor","Citywide","38.90393340","-77.03421526"
"DC Healthcare Systems, Inc.","1101 15th Street NW No. 400","ISAAC GEORGE",1500,2010-08-09,"Kwame for Chair","Citywide","38.90393340","-77.03421526"
"Thompson, Cobb, Bazilio & Associates, PC","1101 15th Street NW No. 400",,1500,2010-08-09,"Kwame for Chair","4","38.90393340","-77.03421526"
"Thompson, Cobb, Bazilio & Associates, PC","1101 15th Street NW No. 400",,2000,2006-08-30,"Marie Johns for Mayor","Citywide","38.90393340","-77.03421526"
"DC Healthcare Systems, Inc.","1101 15th Street NW No. 400","ISAAC GEORGE",2000,2006-08-30,"Marie Johns for Mayor","6","38.90393340","-77.03421526"
"DC Healthcare Systems, Inc.","1101 15th Street NW No. 400","ISAAC GEORGE",1000,2006-12-26,"Mendelson for Council 2006","Citywide","38.90393340","-77.03421526"
"Thompson, Cobb, Bazilio & Associates, PC","1101 15th Street NW No. 400",,1000,2006-12-26,"Mendelson for Council 2006","6","38.90393340","-77.03421526"
"Euclid Street Partners, LLC","1101 15th Street NW No. 400","NICHOLAS G. KARAMBELAS",500,2010-09-10,"Reelect Jim Graham 2010","8","38.90393340","-77.03421526"
"DC Healthcare Systems, Inc.","1101 15th Street NW No. 400","ISAAC GEORGE",500,2010-09-10,"Reelect Jim Graham 2010","Citywide","38.90393340","-77.03421526"
"Thompson, Cobb, Bazilio & Associates, PC","1101 15th Street NW No. 400",,500,2010-09-10,"Reelect Jim Graham 2010","Citywide","38.90393340","-77.03421526"
"Sigma Construction, Inc.","1104 Good Hope Road SE","MARC E. ALBERT, ESQ.",500,2008-08-11,"Barry for Ward 8","8","38.86788038","-76.98867957"
"Sigma Construction, Inc.","1104 Good Hope Road SE","MARC E. ALBERT, ESQ.",500,2008-08-11,"Barry for Ward 8","1","38.86788038","-76.98867957"
"American Management Corporation","1108 Buchanan Street NW",,1500,2006-06-09,"Gray for Chair","7","38.94594772","-77.02712544"
"Wader Street, LLC","1108 Buchanan Street NW",,1500,2006-06-09,"Gray for Chair","4","38.94594772","-77.02712544"
"MarcParc, Inc.","1110 4th Street NW","MARC SLAVIN",500,2004-11-01,"Committee to Elect Vincent Gray","5","38.90411832","-77.01649641"
"Signs for the Times","1110 4th Street NW","MARCPAC INC.",500,2004-11-01,"Committee to Elect Vincent Gray","Citywide","38.90411832","-77.01649641"
"Rock Creek Gardens LLC","1111 14th Street NW No. 200","NATIONAL REGISTERED AGENTS INC.",500,2011-10-06,"Bowser 2012","Citywide","38.90428196","-77.03156966"
"1329-37 FT Stevens DR LLC","1111 14th Street NW No. 200",,500,2011-10-06,"Bowser 2012","3","38.90428196","-77.03156966"
"Luzon Associates, L.P.","1111 14th Street NW No. 200","CT Corporation System UNK",500,2011-10-06,"Bowser 2012","Citywide","38.90428196","-77.03156966"
"Borger Management, Inc.","1111 14th Street NW No. 200","C T CORPORATION SYSTEM UNK",500,2011-10-06,"Bowser 2012","4","38.90428196","-77.03156966"
